"('league', '')","('season', '')","('team', '')","('player', '')","('nation', '')","('pos', '')","('age', '')","('born', '')",minutes_90s,sca_total,sca_per_90,sca_types_pass_live,sca_types_pass_dead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_total,gca_per_90,gca_types_pass_live,gca_types_pass_dead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",17-150,2006,0.5,1,1.87,1,0,0,0,0,0,1,1.87,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,28-054,1996,13.3,40,3.01,32,1,5,2,0,0,6,0.45,4,1,1,0,0,0
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,25-092,1999,24.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22-342,2001,15.8,34,2.16,22,0,1,3,4,4,6,0.38,3,0,0,0,3,0
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21-342,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,37-164,1986,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,25-159,1998,24.0,97,4.04,68,0,20,3,6,0,19,0.79,11,0,4,1,3,0
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,31-266,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",23-098,2001,16.3,68,4.18,48,12,5,3,0,0,9,0.55,7,1,1,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,20-185,2003,11.2,14,1.25,13,1,0,0,0,0,1,0.09,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,28-103,1996,21.2,25,1.17,19,1,0,1,2,2,3,0.14,1,0,0,1,1,0
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,23-046,2001,21.5,38,1.77,31,0,3,0,3,1,5,0.23,3,0,1,0,1,0
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"MF,FW",28-127,1996,12.4,52,4.21,38,10,1,1,1,1,7,0.57,5,1,0,1,0,0
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,30-013,1994,17.1,13,0.76,13,0,0,0,0,0,2,0.12,2,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,29-106,1995,18.1,7,0.39,6,0,0,1,0,0,1,0.06,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,26-208,1997,8.8,9,1.02,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21-343,2002,3.0,7,2.36,6,0,1,0,0,0,2,0.67,2,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",27-012,1997,16.7,118,7.05,86,9,12,6,3,2,19,1.14,16,0,1,1,1,0
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",25-174,1998,14.1,50,3.55,39,0,3,3,5,0,8,0.57,7,0,1,0,0,0
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,"FW,MF",18-010,2006,3.6,9,2.5,8,0,1,0,0,0,1,0.28,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,24-104,2000,23.6,79,3.32,68,7,2,0,2,0,14,0.59,12,1,0,0,1,0
FRA-Ligue 1,2324,Paris S-G,Warren Zaire-Emery,FRA,"MF,DF",18-080,2006,21.8,60,2.75,54,0,5,0,0,1,10,0.46,9,0,1,0,0,0
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,18-012,2006,4.1,7,1.69,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Abdoul Koné,FRA,DF,19-035,2005,2.1,2,0.93,1,0,0,0,1,0,2,0.93,1,0,0,0,1,0
FRA-Ligue 1,2324,Reims,Adama Bojang,GAM,FW,19-365,2004,0.9,2,2.17,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Amadou Koné,MLI,MF,19-013,2005,5.3,6,1.14,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Amine Salama,FRA,FW,23-314,2000,3.5,8,2.3,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Amir Richardson,MAR,MF,22-124,2002,15.0,29,1.93,24,0,0,4,0,1,1,0.07,1,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Azor Matusiwa,NED,MF,26-029,1998,15.4,32,2.08,26,0,1,2,2,1,6,0.39,4,0,1,0,1,0
FRA-Ligue 1,2324,Reims,Benjamin Stambouli,FRA,MF,33-288,1990,3.2,3,0.94,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
